epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5445,1.06014,3.31056,1.33217,0.00478,0.94658,0.28141,0.19436,0.96211,3.55666,1.23714,0.00011,0.00011,0.00011
2,58.7732,1.01036,3.00589,1.32716,0.00598,0.94658,0.2896,0.18797,1.09101,3.53708,1.37288,0.000228103,0.000228103,0.000228103
3,84.4747,1.02441,2.61082,1.32473,0.77554,0.01852,0.25332,0.15358,1.30177,3.37394,1.51675,0.000344225,0.000344225,0.000344225
4,109.49,1.0509,2.26674,1.33792,0.55818,0.18519,0.38161,0.24849,1.29828,3.22475,1.5528,0.000458368,0.000458368,0.000458368
5,134.548,1.14871,2.06016,1.35775,0.58876,0.24575,0.36519,0.24714,1.35907,2.92976,1.59674,0.00057053,0.00057053,0.00057053
6,160.063,1.05993,1.86941,1.33695,0.79993,0.27315,0.43994,0.30098,1.33312,2.72315,1.67896,0.000680712,0.000680712,0.000680712
7,185.805,1.06284,1.76662,1.34251,0.37698,0.4156,0.41105,0.24343,1.49308,3.07218,1.81259,0.000788915,0.000788915,0.000788915
8,211.707,1.06,1.74121,1.3268,0.34977,0.54167,0.37351,0.18766,1.57154,3.13402,1.96671,0.000895138,0.000895138,0.000895138
9,236.873,1.03132,1.635,1.28803,0.54671,0.39352,0.38929,0.19466,1.62187,2.96418,1.8864,0.000934,0.000934,0.000934
10,260.66,1.03665,1.61432,1.3226,0.31937,0.41943,0.26631,0.14991,1.67395,3.02278,1.88911,0.00092575,0.00092575,0.00092575
11,283.909,1.05225,1.62532,1.32367,0.77087,0.2906,0.3264,0.19629,1.72167,3.10125,1.95626,0.0009175,0.0009175,0.0009175
12,306.858,1.05716,1.53588,1.30218,0.23377,0.31838,0.24908,0.12833,1.87062,3.05065,2.15135,0.00090925,0.00090925,0.00090925
13,328.209,1.05248,1.49678,1.2804,0.5296,0.47726,0.38473,0.21548,1.4245,3.10083,1.70139,0.000901,0.000901,0.000901
14,350.551,1.03384,1.38421,1.27482,0.65857,0.38667,0.38174,0.23995,1.41513,2.72178,1.64476,0.00089275,0.00089275,0.00089275
15,372.037,1.00437,1.35471,1.2606,0.4167,0.34437,0.41825,0.2325,1.59734,2.55178,1.78542,0.0008845,0.0008845,0.0008845
16,392.908,0.99937,1.45271,1.26052,0.70698,0.39511,0.5028,0.2947,1.60955,2.41966,1.9083,0.00087625,0.00087625,0.00087625
17,413.304,0.97788,1.36125,1.22973,0.47577,0.51567,0.48376,0.26113,1.71606,2.38946,1.98373,0.000868,0.000868,0.000868
18,433.567,0.96786,1.32988,1.2605,0.53978,0.57606,0.51197,0.3359,1.5535,2.39582,1.78743,0.00085975,0.00085975,0.00085975
19,455.593,0.91153,1.21627,1.20585,0.50399,0.48999,0.5038,0.33921,1.55835,2.50826,1.81861,0.0008515,0.0008515,0.0008515
20,477.836,0.97564,1.25673,1.21282,0.60011,0.59461,0.55529,0.33585,1.50751,1.97626,1.75956,0.00084325,0.00084325,0.00084325
21,500.648,0.93954,1.19019,1.20885,0.62411,0.55801,0.49195,0.29084,1.60125,2.09343,1.88567,0.000835,0.000835,0.000835
22,523.251,0.9413,1.19592,1.1934,0.52786,0.53797,0.47849,0.30115,1.64938,2.71554,1.91346,0.00082675,0.00082675,0.00082675
23,544.59,0.94954,1.17625,1.22244,0.44962,0.61956,0.50029,0.26331,1.79757,2.52197,2.09776,0.0008185,0.0008185,0.0008185
24,566.328,0.90098,1.139,1.16891,0.63803,0.56744,0.57597,0.35263,1.76757,2.15545,1.99447,0.00081025,0.00081025,0.00081025
25,588.108,0.92339,1.1892,1.21753,0.55794,0.47412,0.51387,0.33381,1.47597,2.47961,1.78677,0.000802,0.000802,0.000802
26,610.102,0.90562,1.14917,1.18549,0.72489,0.44663,0.57719,0.36264,1.50999,2.14998,1.78166,0.00079375,0.00079375,0.00079375
