frame,landmark_index,x,y,z
0.jpg,0,0.3805949091911316,0.6053750514984131,-4.7000099812066765e-07
0.jpg,1,0.3921622633934021,0.4624013304710388,-0.008103695698082447
0.jpg,2,0.43847736716270447,0.3123326003551483,-0.022901510819792747
0.jpg,3,0.4717066287994385,0.19257940351963043,-0.03586416691541672
0.jpg,4,0.4740011394023895,0.09495571255683899,-0.04519491270184517
0.jpg,5,0.49460381269454956,0.30373114347457886,-0.041301269084215164
0.jpg,6,0.5880750417709351,0.36462917923927307,-0.05541960522532463
0.jpg,7,0.5646511316299438,0.4016495943069458,-0.05748650059103966
0.jpg,8,0.5297198295593262,0.3941265344619751,-0.05862380191683769
0.jpg,9,0.5121679306030273,0.392217218875885,-0.04789997264742851
0.jpg,10,0.5980802774429321,0.441794753074646,-0.05109149217605591
0.jpg,11,0.5695565342903137,0.47513434290885925,-0.0424504391849041
0.jpg,12,0.5339462757110596,0.471563458442688,-0.040499936789274216
0.jpg,13,0.5256699919700623,0.49252623319625854,-0.05319368839263916
0.jpg,14,0.5964657664299011,0.5272725820541382,-0.050888627767562866
0.jpg,15,0.5690587759017944,0.5503551959991455,-0.03293406218290329
0.jpg,16,0.5349587798118591,0.5470435619354248,-0.02639932930469513
0.jpg,17,0.5356557965278625,0.5908076167106628,-0.05913303419947624
0.jpg,18,0.5837053060531616,0.6020776629447937,-0.05306684225797653
0.jpg,19,0.5582972168922424,0.6145116686820984,-0.036941930651664734
0.jpg,20,0.5317160487174988,0.6091995239257812,-0.028269989416003227
1.jpg,0,0.281827449798584,0.5524904727935791,-3.000227479788009e-07
1.jpg,1,0.2917901873588562,0.42098546028137207,-0.011007550172507763
1.jpg,2,0.3400994539260864,0.27136752009391785,-0.030001366510987282
1.jpg,3,0.37008416652679443,0.14954990148544312,-0.045531030744314194
1.jpg,4,0.36497634649276733,0.05128827691078186,-0.05773340165615082
1.jpg,5,0.3741157352924347,0.25330305099487305,-0.06614211201667786
